Origin,Destination,Carrier,Month,Delay Percentage,Total Flights,Delay Flights,Total Delay Time(min),Carrier Delay,Weather Delay,NAS Delay,Security Delay,Aircraft Delay
PDX,DEN,WN,12,54%,561,301,6178,1902,309,985,28,2954
PDX,LAS,WN,12,47%,590,280,6359,1702,516,708,25,3408
PDX,LAX,WN,12,25%,61,15,252,167,0,21,0,64
PDX,MDW,WN,12,42%,203,86,1056,374,88,292,0,302
PDX,PHX,WN,12,48%,421,202,5362,1813,49,245,8,3247
PDX,SAN,WN,12,45%,121,54,1797,359,25,94,0,1319
PDX,SLC,WN,12,47%,193,90,2298,552,184,160,8,1394
PHL,ATL,WN,12,54%,126,68,2282,772,0,646,13,851
PHL,BOS,WN,12,23%,197,45,1723,261,0,129,0,1333
PHL,DEN,WN,12,39%,343,134,4838,1088,210,1028,58,2454
PHL,FLL,WN,12,42%,345,146,5918,1706,24,1089,48,3051
PHL,LAS,WN,12,30%,153,46,1044,638,0,303,18,85
PHL,MCO,WN,12,40%,623,251,11284,2989,82,1377,31,6805
PHL,MDW,WN,12,45%,834,376,13546,3041,891,1981,59,7574
PHL,PHX,WN,12,49%,154,76,1975,654,0,356,6,959
PHL,TPA,WN,12,43%,327,139,5634,1668,20,596,36,3314
PHX,ATL,WN,12,38%,247,95,2382,755,0,418,0,1209
PHX,BOS,WN,12,13%,31,4,55,52,0,0,0,3
PHX,BWI,WN,12,37%,366,134,2428,804,0,249,0,1375
PHX,DEN,WN,12,50%,1342,674,14993,5217,707,1782,58,7229
PHX,DTW,WN,12,61%,155,94,2271,908,69,128,17,1149
PHX,EWR,WN,12,51%,215,110,4622,1201,731,2416,12,262
PHX,FLL,WN,12,39%,31,12,224,124,0,16,0,84
PHX,LAS,WN,12,49%,1683,821,18590,5688,453,1951,32,10466
PHX,LAX,WN,12,59%,1318,780,18316,4803,77,3666,35,9735
PHX,MCO,WN,12,58%,155,90,741,188,0,380,1,172
PHX,MDW,WN,12,41%,963,396,7293,2624,31,1438,21,3179
PHX,MSP,WN,12,56%,305,170,3618,1123,79,515,13,1888
PHX,PDX,WN,12,57%,421,239,5739,1864,0,713,18,3144
PHX,PHL,WN,12,46%,154,71,2397,535,77,1227,0,558
PHX,SAN,WN,12,52%,1558,809,15474,5064,71,1333,17,8989
PHX,SEA,WN,12,60%,493,297,8688,3057,5,1299,34,4293
PHX,SFO,WN,12,60%,670,402,16703,3161,2025,5529,0,5988
PHX,SLC,WN,12,52%,860,446,11190,4481,0,744,38,5927
PHX,TPA,WN,12,39%,155,60,384,174,0,63,0,147
SAN,ATL,WN,12,63%,124,78,2127,955,0,269,0,903
SAN,BWI,WN,12,31%,307,96,1531,415,58,499,9,550
SAN,DEN,WN,12,43%,753,325,7788,2124,465,896,0,4303
SAN,IAD,WN,12,39%,38,15,299,26,0,72,0,201
